[0707/151016.347:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x70cc0018b400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/151127.382:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x538c00188a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151127.426:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x538c00185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151127.445:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x538c00188a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151127.453:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x538c00185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/151224.107:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4ebc001ca200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151224.144:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4ebc001c6600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151224.162:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4ebc001ca200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151224.169:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4ebc001c6600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/151441.670:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1664001cca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151441.699:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1664001c9a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151441.720:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1664001cca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151441.732:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1664001c9a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/154914.163:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:285] ContextResult::kTransientFailure: Failed to send GpuControl.CreateCommandBuffer.
[0707/154916.459:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x172c00189600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/154916.516:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x172c00186600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/154916.589:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x172c00189600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/154916.605:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x172c00186600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/155214.139:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x269c00189c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/155214.174:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x269c00187800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/155214.192:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x269c00189c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/155214.200:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x269c00187800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/155705.713:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:285] ContextResult::kTransientFailure: Failed to send GpuControl.CreateCommandBuffer.
[0707/155722.866:ERROR:components\viz\service\display\display.cc:272] Frame latency is negative: -0.221 ms
[0707/155723.727:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3a1400189600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/155723.839:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3a1400185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/155723.878:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3a1400189600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/155723.926:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3a1400185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/163800.620:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x63c400188a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/163800.676:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x63c400185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/163800.687:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x63c400188a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/163800.706:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x63c400185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/163831.926:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x77dc00187e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/163831.962:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x77dc00185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/163831.990:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x77dc00187e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/163832.008:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x77dc00185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
